ID;Name;Opening Week Audience;Total Audience;Opening Week Revenue;Total Revenue;IMDB Score;Release Weeks;Release Date;Runtime;Location Count
245;The Nun 2;40.287;162.993;4306895;16999200;5,6;7;September;110;280
246;The Little Alien;8.620;12.940;881183;1294265;5,5;3;September;85;158
247;Seytanın Elcileri;3.083;5.245;307273;485630;3,1;2;September;82;130
248;Sympathy for the Devil;1.126;1.974;116193;189366;5,5;2;September;90;85
249;Bulutların Ustunde;838;1595;83763;151456;5,6;2;September;84;52
250;Kacakcilar;985;1.621;117690;176459;6,2;1;September;129;51
251;Kar ve Ayı;2.108;11.794;219520;1201588;6,6;14;September;93;36
252;The Eternal Daughter;424;1.278;51529;139375;5,9;3;September;96;25
253;Ladybug & Cat Noir: The Movie;46.864;196.462;1587500;18861998;6,1;19;September;105;296
254;After: Everything;4.805;11.326;506628;1093869;4,7;4;September;94;150
255;A Haunting In Venice;11.100;37.159;1318978;4268848;6,5;8;September;103;136
256;Siluet: Bir Yılbası Kabusu;1.801;3.173;180627;293071;4,8;2;September;80;101
257;Monkey King Reborn;1.404;1.795;133764;164513;6;2;September;95;94
258;Metruk;1.616;2.581;158500;244953;5,9;3;September;129;79
259;Vesnan;944;1.698;92718;153994;5;1;September;88;74
260;Yong Zhi Cheng, Realm of Terracotta;456;632;49816;65733;6,2;1;September;111;53
261;Lanetli Miras: Yanlis Adres;375;722;32201;63599;1,5;2;September;84;29
262;Safe Place;432;1.704;41794;137926;7,2;7;September;103;14
263;Tavuri;478;1.179;40061;161801;7,3;6;September;93;11
264;Expend4bles;45.127;164.065;4921102;16883559;4,8;7;September;103;327
265;Ammar 4: Cin Kavmi;9.957;22.443;989657;2133496;2,9;3;September;85;218
266;Yildiz Tozu;4.213;13.290;362999;924478;7;12;September;109;189
267;Kocamı Kim Oldurur?;3.199;5.753;318074;536156;2,6;2;September;100;156
268;Acide;1.975;3.766;230111;393881;5;1;September;90;50
269;The Dive;1.572;2.852;184269;305710;5,5;1;September;91;50
270;Huzurum Kalmadı: Bir Huzurevi Komedisi;471;660;44367;58473;5,9;1;September;82;32
271;Inside Man;99;222;10474;20625;5,6;1;September;93;22
272;1976;208;803;23085;65010;6,7;6;September;97;14
273;Duet;78;254;7925;17419;6,7;5;September;72;13
274;Paw Patrol: The Mighty Movie;41.630;159.496;445354;16589649;5,9;6;September;92;287
275;Kare Takimi: Gizemli Ada;13.468;31.561;1299724;2825053;NA;23;September;79;230
276;Kuru Otlar Ustune;70.157;342.124;8411112;38876343;7,7;31;September;197;217
277;The Creator;16.487;41.795;2034863;4973284;6,7;4;September;133;174
278;Kalp Estetigi;6.264;9.683;629317;915694;7,7;3;September;99;139
279;The Retirement Plan;936;1.598;11337;176125;5,1;2;September;103;89
280;Her Seye Ragmen;916;1.671;96770;165387;5,2;1;September;116;64
281;Melanet;2.218;3.180;222801;364863;5,1;2;September;74;63
282;Godless: The Eastfield Exorcism;1.463;2.580;170211;273484;5,4;2;September;91;47
283;Hep Yek: Dügün;25.376;102.516;2539767;9445232;5,1;11;October;87;283
284;Bursa Bülbülü;16.372;36.861;1401904;3098635;6,8;6;October;120;283
285;The Exorcist: Believer;20.646;61.604;2467946;7188416;4,8;4;October;101;191
286;"Masal Zamanı 2 ""Sihirli Kapı""";5.115;6.612;558314;705381;3,1;3;October;92;149
287;Roza;3.174;6.428;329926;615180;6,9;4;October;116;95
288;Kent Mezarlıgında Sızıntı;1.276;2.147;127838;197335;NA;2;October;82;54
289;Jester: Intikam Gecesi;2.770;4.475;322112;486334;3,9;1;October;80;51
290;Hazep;98;205;9880;18330;NA;1;October;107;20
291;Zübeyde, Analar ve Ogullar;11.653;33.984;1249697;3032457;5,6;8;October;400;280
292;Güven Bana;7.663;13.703;823895;1375211;4,8;3;October;112;222
293;Richard the Stork and the Mystery of the Great Jewel;10.152;17.125;1081802;1698010;5,1;8;October;84;200
294;Zuhur: Cinn-i Ayin;8.417;17.511;829994;1599196;1,7;5;October;87;175
295;Retribution;5.758;12.728;681500;1419267;5,3;5;October;91;103
296;Sur'da Devran;5.015;13.614;466478;1187583;6,8;5;October;112;62
297;Dangerous Waters;935;2.077;98292;181669;5,2;4;October;101;46
298;Dumb Money;273;596;38035;84735;6,9;2;October;104;25
299;Bir Tutam Karanfil;77;502;8710;49255;5,8;6;October;134;19
300;İbi: Dogu Ekspresi'nin Gizemi;63.606;267.008;6359573;25093354;6,7;22;October;78;310
301;Testere X;40.714;168.252;4834151;19052444;6,6;13;October;118;269
302;Ogretmen;9.136;76.239;932348;4905537;2,4;23;October;133;202
